ID,medv
3,31.279474290018744
6,25.64467092007943
8,18.669399191643983
9,9.704692929075662
10,18.187768270420165
18,17.257212364585733
20,19.177260721550564
25,15.734966686960334
26,13.24982207294488
27,15.571825702560854
29,19.869829738274245
30,21.363183277404556
33,7.749353501146537
34,14.125618516126565
36,24.37918489268312
37,22.781428339700373
38,23.92830168664047
42,28.951218826356573
49,6.983374590859238
53,28.131501735490886
60,21.49340364128333
63,24.363310204362797
70,21.015749304119602
72,22.27629254890066
79,21.481744452648588
80,23.134973496541413
83,26.533570315832776
92,27.40764862345086
93,29.632451488906526
96,28.666786911910762
98,36.017162793805426
99,35.765715439612876
100,32.41445523535383
105,21.789262847927375
106,18.52394785902428
111,21.24472516228397
113,20.642766095878166
114,20.48508634667121
116,20.229640043778208
126,22.776396377377996
130,14.560693614142448
131,20.939067832741426
133,21.038285014840525
136,17.818680284975965
141,13.617495151178588
144,12.011523336463839
145,8.28275913253831
147,15.725401887531348
152,18.82390014838815
153,21.900368035626087
156,21.239384965703074
158,33.93579310527353
163,42.64212385477455
169,26.358188724312924
185,21.593939990165836
186,23.905123363168865
189,32.51481090469234
196,40.6946375638671
197,35.3748050456662
199,33.69092226853877
200,30.03049352508429
203,36.98949380081755
208,16.806623955370245
210,16.436911685761277
211,22.3665051153613
213,23.204899024181493
216,24.485588390813675
218,28.03618599273113
219,24.99532562283345
220,30.30865301169756
221,33.95889669365391
229,36.21532845134453
232,33.268423712765696
238,32.747471396190946
239,28.15040972662002
240,27.8489097688702
242,22.506148167977777
246,11.729428719253779
248,18.72893779634704
253,24.973325118229095
255,22.81780727994532
256,20.450928697658
257,37.07435915980777
258,43.10554190476268
259,35.82221900626
260,34.365476691734536
268,40.328694285551045
270,25.766651819804736
271,21.446170156557827
276,33.7597404444014
277,36.30540748926522
278,35.86207195422423
279,30.075638354013144
281,38.01364339993631
288,26.248870850386975
290,25.974764987361144
292,34.45631846407021
295,23.490681340249054
296,27.9367299057644
299,28.172097844855806
300,31.142050635643066
301,29.551655278951753
308,32.15500671886696
314,24.98969662829404
315,24.756998236635567
320,20.52775576140665
322,24.458132366698486
323,22.397771048792766
324,18.37288142834406
327,23.45131800689351
330,23.564240927713296
332,18.470998719516558
333,22.167346248367714
336,20.030375081278944
338,18.26667555257194
346,14.933950268080483
347,12.903819328179289
351,19.132677222795515
352,19.14788735870056
354,23.757969751098887
355,13.231300637612506
356,15.717510062842702
362,20.209493459920637
364,22.627173745421054
365,40.71394306868113
370,35.716628407707184
376,27.48271881499854
379,17.37634062720772
380,18.13753456590748
381,20.162361380494016
382,19.7344238767031
386,8.605076427625967
389,6.72871965017989
391,18.206561086213185
394,21.531574133851063
396,21.41118360895293
398,17.122896847264034
400,11.117573179948867
403,19.09316778254272
405,9.426520011205241
406,12.107942372238984
407,9.07963849943534
410,20.28705762759649
411,17.940583393375547
412,16.860299786820683
413,0.7079342143571523
417,12.93354787519764
421,20.725322649566756
422,18.984793990916152
423,19.509784166460932
424,12.473026888200991
427,16.738563561603943
431,18.08255720482903
436,13.336880871481306
437,14.883028523117236
439,4.096574130446932
447,18.261163228970588
450,17.616257988972684
451,16.286862078115732
455,15.062918951543615
457,12.175271428140203
471,20.459160001106582
474,26.54112002012548
476,15.63020938921618
483,29.56808363582513
486,23.048259464907076
490,6.730783629486439
495,19.661512083768077
496,15.675309172394407
497,12.07186727963052
499,20.149563809115264
501,19.043788717319377
505,25.0991897813644
